QB,Overall,Player Team (Bye),ESPN,Yahoo,CBS,Sleeper,RTSports,AVG,Position,Scoring,RB,WR,TE
1.0,23.0,Josh Allen BUF (12),1.0,1.0,1.0,1.0,1.0,1.2,QB,half-ppr,,,
2.0,31.0,Patrick Mahomes II KC (6),2.0,2.0,3.0,3.0,3.0,2.3,QB,half-ppr,,,
3.0,29.0,Jalen Hurts PHI (5),3.0,3.0,2.0,2.0,2.0,2.5,QB,half-ppr,,,
4.0,38.0,Lamar Jackson BAL (14),4.0,4.0,4.0,4.0,4.0,4.0,QB,half-ppr,,,
5.0,51.0,C.J. Stroud HOU (14),5.0,5.0,5.0,5.0,6.0,5.2,QB,half-ppr,,,
6.0,52.0,Anthony Richardson IND (14),7.0,6.0,9.0,6.0,5.0,6.5,QB,half-ppr,,,
7.0,71.0,Joe Burrow CIN (12),6.0,8.0,7.0,7.0,9.0,7.5,QB,half-ppr,,,
8.0,66.0,Kyler Murray ARI (11),10.0,7.0,10.0,8.0,7.0,8.2,QB,half-ppr,,,
9.0,74.0,Jordan Love GB (10),9.0,10.0,6.0,10.0,8.0,8.8,QB,half-ppr,,,
10.0,78.0,Dak Prescott DAL (7) O,8.0,9.0,8.0,9.0,10.0,8.8,QB,half-ppr,,,
11.0,97.0,Brock Purdy SF (9),11.0,11.0,11.0,11.0,13.0,11.3,QB,half-ppr,,,
12.0,102.0,Jayden Daniels WAS (14),12.0,12.0,13.0,14.0,11.0,12.3,QB,half-ppr,,,
13.0,96.0,Caleb Williams CHI (7),14.0,15.0,12.0,12.0,12.0,13.2,QB,half-ppr,,,
14.0,107.0,Tua Tagovailoa MIA (6),15.0,13.0,15.0,13.0,15.0,14.3,QB,half-ppr,,,
15.0,111.0,Jared Goff DET (5),19.0,14.0,14.0,15.0,14.0,14.8,QB,half-ppr,,,
16.0,122.0,Trevor Lawrence JAC (12) O,18.0,17.0,16.0,17.0,16.0,17.0,QB,half-ppr,,,
17.0,125.0,Justin Herbert LAC (5) Q,16.0,21.0,17.0,16.0,17.0,17.2,QB,half-ppr,,,
18.0,139.0,Aaron Rodgers NYJ (12),13.0,20.0,19.0,18.0,19.0,18.0,QB,half-ppr,,,
19.0,135.0,Kirk Cousins ATL (12),17.0,24.0,18.0,19.0,18.0,19.3,QB,half-ppr,,,
20.0,146.0,Matthew Stafford LAR (6),21.0,25.0,20.0,20.0,20.0,20.5,QB,half-ppr,,,
21.0,158.0,Baker Mayfield TB (11),22.0,22.0,22.0,21.0,21.0,21.5,QB,half-ppr,,,
22.0,171.0,Deshaun Watson CLE (10) O,20.0,27.0,21.0,22.0,23.0,22.5,QB,half-ppr,,,
23.0,192.0,Bo Nix DEN (14),23.0,18.0,23.0,26.0,28.0,23.5,QB,half-ppr,,,
24.0,179.0,Geno Smith SEA (10),24.0,28.0,25.0,24.0,24.0,25.2,QB,half-ppr,,,
25.0,175.0,Will Levis TEN (5),26.0,23.0,,23.0,22.0,24.4,QB,half-ppr,,,
26.0,203.0,Russell Wilson PIT (9),28.0,16.0,,32.0,29.0,26.0,QB,half-ppr,,,
27.0,198.0,Justin Fields PIT (9),30.0,19.0,,25.0,34.0,27.0,QB,half-ppr,,,
28.0,196.0,Derek Carr NO (12),29.0,,24.0,31.0,25.0,28.0,QB,half-ppr,,,
29.0,193.0,Bryce Young CAR (11),25.0,,,28.0,26.0,27.0,QB,half-ppr,,,
30.0,202.0,Drake Maye NE (14),31.0,,,27.0,33.0,30.3,QB,half-ppr,,,
31.0,210.0,Sam Darnold MIN (6),42.0,,,33.0,30.0,34.8,QB,half-ppr,,,
32.0,199.0,Daniel Jones MIN (6),,,,30.0,27.0,30.0,QB,half-ppr,,,
33.0,226.0,Gardner Minshew II LV (10) O,,,,35.0,31.0,32.7,QB,half-ppr,,,
34.0,257.0,Aidan O'Connell LV (10),,,,39.0,35.0,36.3,QB,half-ppr,,,
35.0,244.0,Jacoby Brissett NE (14),,,,,32.0,34.5,QB,half-ppr,,,
36.0,280.0,Joe Flacco IND (14),44.0,,,,36.0,40.0,QB,half-ppr,,,
37.0,284.0,Michael Penix Jr. ATL (12),,,,34.0,,35.0,QB,half-ppr,,,
38.0,,Kenny Pickett PHI (5),33.0,,,,,35.5,QB,half-ppr,,,
39.0,,Joshua Dobbs SF (9),34.0,,,,,38.0,QB,half-ppr,,,
40.0,148.0,Taysom Hill NO (12) O,,26.0,,,,26.0,QB,half-ppr,,,
41.0,,Tom Brady,27.0,,,,,27.0,QB,half-ppr,,,
42.0,,Carson Wentz KC (6),41.0,,,,,41.0,QB,half-ppr,,,
43.0,,Jimmy Garoppolo LAR (6),35.0,,,,,41.5,QB,half-ppr,,,
44.0,,Hendon Hooker DET (5),39.0,,,,,42.5,QB,half-ppr,,,
45.0,309.0,Davis Cheek,,,,36.0,,36.0,QB,half-ppr,,,
46.0,,Michael Pratt TB (11),36.0,,,,,68.5,QB,half-ppr,,,
