Player Team (Bye),Position,Scoring,Original Position,Rank
Tyreek Hill MIA (6),WR,standard,WR,1
CeeDee Lamb DAL (7),WR,standard,WR,2
Amon-Ra St. Brown DET (5),WR,standard,WR,3
Justin Jefferson MIN (6),WR,standard,WR,4
Ja'Marr Chase CIN (12),WR,standard,WR,5
A.J. Brown PHI (5),WR,standard,WR,6
Garrett Wilson NYJ (12),WR,standard,WR,7
Puka Nacua LAR (6),WR,standard,WR,8
Marvin Harrison Jr. ARI (11),WR,standard,WR,9
Deebo Samuel Sr. SF (9),WR,standard,WR,10
Drake London ATL (12),WR,standard,WR,11
Davante Adams NYJ (12),WR,standard,WR,12
Nico Collins HOU (14),WR,standard,WR,13
Chris Olave NO (12),WR,standard,WR,14
Brandon Aiyuk SF (9) O,WR,standard,WR,15
Mike Evans TB (11),WR,standard,WR,16
Cooper Kupp LAR (6),WR,standard,WR,17
DK Metcalf SEA (10),WR,standard,WR,18
DJ Moore CHI (7),WR,standard,WR,19
Jaylen Waddle MIA (6),WR,standard,WR,20
Stefon Diggs HOU (14) O,WR,standard,WR,21
DeVonta Smith PHI (5),WR,standard,WR,22
Michael Pittman Jr. IND (14),WR,standard,WR,23
Malik Nabers NYG (11),WR,standard,WR,24
Amari Cooper BUF (12),WR,standard,WR,25
George Pickens PIT (9),WR,standard,WR,26
Tee Higgins CIN (12),WR,standard,WR,27
Tank Dell HOU (14),WR,standard,WR,28
Zay Flowers BAL (14),WR,standard,WR,29
Rashee Rice KC (6) O,WR,standard,WR,30
Terry McLaurin WAS (14),WR,standard,WR,31
Christian Kirk JAC (12) O,WR,standard,WR,32
Jayden Reed GB (10),WR,standard,WR,33
Calvin Ridley TEN (5),WR,standard,WR,34
Chris Godwin TB (11) O,WR,standard,WR,35
Keenan Allen CHI (7),WR,standard,WR,36
Xavier Worthy KC (6),WR,standard,WR,37
Christian Watson GB (10),WR,standard,WR,38
Diontae Johnson BAL (14),WR,standard,WR,39
Rome Odunze CHI (7),WR,standard,WR,40
DeAndre Hopkins KC (6),WR,standard,WR,41
Jaxon Smith-Njigba SEA (10),WR,standard,WR,42
Courtland Sutton DEN (14),WR,standard,WR,43
Ladd McConkey LAC (5),WR,standard,WR,44
Jameson Williams DET (5),WR,standard,WR,45
Keon Coleman BUF (12),WR,standard,WR,46
Marquise Brown KC (6),WR,standard,WR,47
Jordan Addison MIN (6),WR,standard,WR,48
Brian Thomas Jr. JAC (12),WR,standard,WR,49
Romeo Doubs GB (10),WR,standard,WR,50
Khalil Shakir BUF (12),WR,standard,WR,51
Joshua Palmer LAC (5),WR,standard,WR,52
Curtis Samuel BUF (12),WR,standard,WR,53
Jakobi Meyers LV (10),WR,standard,WR,54
Tyler Lockett SEA (10),WR,standard,WR,55
Jerry Jeudy CLE (10),WR,standard,WR,56
Mike Williams PIT (9),WR,standard,WR,57
Brandin Cooks DAL (7),WR,standard,WR,58
Gabe Davis JAC (12) O,WR,standard,WR,59
Adonai Mitchell IND (14),WR,standard,WR,60
Rashid Shaheed NO (12) O,WR,standard,WR,61
Dontayvion Wicks GB (10),WR,standard,WR,62
Adam Thielen CAR (11),WR,standard,WR,63
Darnell Mooney ATL (12),WR,standard,WR,64
Xavier Legette CAR (11),WR,standard,WR,65
Ja'Lynn Polk NE (14),WR,standard,WR,66
Josh Downs IND (14),WR,standard,WR,67
Michael Wilson ARI (11),WR,standard,WR,68
Jahan Dotson PHI (5),WR,standard,WR,69
Quentin Johnston LAC (5),WR,standard,WR,70
DeMario Douglas NE (14),WR,standard,WR,71
Jermaine Burton CIN (12),WR,standard,WR,72
Troy Franklin DEN (14),WR,standard,WR,73
Luke McCaffrey WAS (14),WR,standard,WR,74
Ricky Pearsall SF (9),WR,standard,WR,75
Marvin Mims Jr. DEN (14),WR,standard,WR,76
Wan'Dale Robinson NYG (11),WR,standard,WR,77
Roman Wilson PIT (9),WR,standard,WR,78
Rashod Bateman BAL (14),WR,standard,WR,79
Greg Dortch ARI (11),WR,standard,WR,80
Jalen McMillan TB (11),WR,standard,WR,81
Demarcus Robinson LAR (6),WR,standard,WR,82
Tyler Boyd TEN (5),WR,standard,WR,83
Jalen Tolbert DAL (7),WR,standard,WR,84
Dyami Brown WAS (14),WR,standard,WR,85
Malachi Corley NYJ (12),WR,standard,WR,86
Darius Slayton NYG (11),WR,standard,WR,87
Andrei Iosivas CIN (12),WR,standard,WR,88
Jalin Hyatt NYG (11),WR,standard,WR,89
DJ Chark Jr. LAC (5),WR,standard,WR,90
Javon Baker NE (14),WR,standard,WR,91
Odell Beckham Jr. MIA (6),WR,standard,WR,92
Jordan Whittington LAR (6),WR,standard,WR,93
Malik Washington MIA (6),WR,standard,WR,94
Calvin Austin III PIT (9),WR,standard,WR,95
Brenden Rice LAC (5),WR,standard,WR,96
Noah Brown WAS (14),WR,standard,WR,97
Elijah Moore CLE (10),WR,standard,WR,98
Tre Tucker LV (10),WR,standard,WR,99
Treylon Burks TEN (5),WR,standard,WR,100
Devontez Walker BAL (14),WR,standard,WR,101
Zay Jones ARI (11),WR,standard,WR,102
Van Jefferson PIT (9),WR,standard,WR,103
Kendrick Bourne NE (14),WR,standard,WR,104
Jonathan Mingo DAL (7),WR,standard,WR,105
Albert Wilson,WR,standard,WR,106
K.J. Osborn WAS (14),WR,standard,WR,107
Alec Pierce IND (14),WR,standard,WR,108
Kevin White,WR,standard,WR,109
Jalen Nailor MIN (6),WR,standard,WR,110
Zay Malone,WR,standard,WR,111
Josh Reynolds JAC (12),WR,standard,WR,112
Anthony Johnson,WR,standard,WR,113
A.T. Perry DEN (14),WR,standard,WR,114
