Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,,
1,Saquon Barkley (PHI),266,1623,6.1,72,13,11,29,38,267,9.2,2,1,13,271.0,20.8,99.8%,RB,standard
2,Derrick Henry (BAL),240,1407,5.9,87,14,13,13,15,125,9.6,2,1,13,241.2,18.6,99.7%,RB,standard
3,Jahmyr Gibbs (DET),178,1016,5.7,70,9,10,34,42,312,9.2,2,1,13,202.8,15.6,99.8%,RB,standard
4,Josh Jacobs (GB),239,1053,4.4,38,6,11,27,34,260,9.6,1,1,13,201.3,15.5,98.9%,RB,standard
5,Kyren Williams (LAR),251,1013,4.0,30,2,12,28,34,155,5.5,2,3,13,194.8,15.0,99.6%,RB,standard
6,Bijan Robinson (ATL),215,977,4.5,37,3,8,53,58,401,7.6,1,0,13,193.8,14.9,99.8%,RB,standard
7,Joe Mixon (HOU),205,887,4.3,59,7,11,27,40,244,9.0,1,0,10,185.1,18.5,98.8%,RB,standard
8,Alvin Kamara (NO),223,938,4.2,24,3,6,64,84,485,7.6,1,0,13,184.3,14.2,99.2%,RB,standard
9,David Montgomery (DET),180,771,4.3,21,1,12,32,34,310,9.7,0,1,13,182.2,14.0,96.1%,RB,standard
10,De'Von Achane (MIA),153,600,3.9,47,2,4,63,71,474,7.5,6,0,13,167.4,12.9,99.5%,RB,standard
11,Chuba Hubbard (CAR),215,1011,4.7,38,6,8,35,45,141,4.0,1,3,13,165.2,12.7,90.7%,RB,standard
12,James Cook (BUF),157,723,4.6,65,3,11,28,34,204,7.3,1,0,12,164.7,13.7,98.4%,RB,standard
13,Chase Brown (CIN),166,735,4.4,40,6,6,44,55,302,6.9,3,1,13,157.7,12.1,81.7%,RB,standard
14,James Conner (ARI),201,863,4.3,23,4,5,36,43,333,9.3,1,1,13,157.6,12.1,95.8%,RB,standard
15,Aaron Jones Sr. (MIN),197,893,4.5,41,3,4,37,43,302,8.2,2,3,13,149.5,11.5,96.6%,RB,standard
16,Breece Hall (NYJ),164,692,4.2,42,3,4,46,62,401,8.7,2,2,12,143.3,11.9,99.0%,RB,standard
17,Najee Harris (PIT),223,877,3.9,36,8,5,29,37,249,8.6,0,0,13,142.6,11.0,92.0%,RB,standard
18,Tony Pollard (TEN),213,937,4.4,41,6,4,39,53,233,6.0,0,1,13,139.0,10.7,92.6%,RB,standard
19,J.K. Dobbins (LAC),158,766,4.8,61,6,8,28,34,134,4.8,0,0,11,138.0,12.5,76.8%,RB,standard
20,D'Andre Swift (CHI),193,742,3.8,56,5,5,34,41,315,9.3,0,0,13,137.7,10.6,92.3%,RB,standard
21,Bucky Irving (TB),137,735,5.4,56,5,6,36,38,300,8.3,0,1,13,137.5,10.6,87.6%,RB,standard
22,Kenneth Walker III (SEA),145,542,3.7,28,5,7,38,45,271,7.1,1,0,10,129.3,12.9,96.4%,RB,standard
23,Rachaad White (TB),120,509,4.2,56,2,3,41,46,322,7.9,5,1,12,129.1,10.8,92.7%,RB,standard
24,Jonathan Taylor (IND),186,804,4.3,58,7,5,14,23,118,8.4,1,0,10,128.2,12.8,99.7%,RB,standard
25,Rhamondre Stevenson (NE),180,671,3.7,33,2,6,31,38,139,4.5,1,2,12,123.0,10.3,89.1%,RB,standard
26,Brian Robinson Jr. (WAS),138,640,4.6,40,3,8,12,16,105,8.8,0,0,10,122.5,12.3,90.8%,RB,standard
27,Rico Dowdle (DAL),152,731,4.8,27,2,1,33,42,205,6.2,3,1,12,115.6,9.6,72.1%,RB,standard
28,Zach Charbonnet (SEA),97,400,4.1,51,2,7,36,43,263,7.3,1,0,13,114.3,8.8,75.9%,RB,standard
29,Tyrone Tracy Jr. (NYG),141,664,4.7,45,5,5,29,40,216,7.4,0,2,13,114.0,8.8,83.3%,RB,standard
30,Kareem Hunt (KC),167,608,3.6,17,0,5,20,27,148,7.4,0,0,10,105.6,10.6,68.7%,RB,standard
31,Jordan Mason (SF),153,789,5.2,38,9,3,11,14,91,8.3,0,1,12,104.0,8.7,48.1%,RB,standard
32,Tank Bigsby (JAC),120,602,5.0,65,4,5,5,8,50,10.0,0,0,12,95.2,7.9,34.2%,RB,standard
33,Austin Ekeler (WAS),74,355,4.8,50,4,4,33,39,346,10.5,0,0,11,94.1,8.6,63.4%,RB,standard
34,Javonte Williams (DEN),124,446,3.6,20,1,4,38,50,259,6.8,0,2,13,90.5,7.0,74.1%,RB,standard
35,Alexander Mattison (LV),97,320,3.3,24,1,3,25,29,245,9.8,1,0,10,82.5,8.3,42.2%,RB,standard
36,Tyler Allgeier (ATL),102,508,5.0,25,4,3,10,10,62,6.2,0,0,13,77.0,5.9,33.9%,RB,standard
37,Ray Davis (BUF),80,342,4.3,22,1,3,11,12,153,13.9,1,0,13,73.5,5.7,19.6%,RB,standard
38,Justice Hill (BAL),43,191,4.4,51,1,1,37,45,322,8.7,2,0,13,69.3,5.3,21.6%,RB,standard
39,Travis Etienne Jr. (JAC),99,391,3.9,22,2,2,29,37,164,5.7,0,1,11,65.5,6.0,85.8%,RB,standard
40,Jaylen Warren (PIT),87,359,4.1,18,0,1,27,34,222,8.2,0,1,11,62.1,5.6,70.3%,RB,standard
41,Isaac Guerendo (SF),57,324,5.7,76,2,4,7,8,69,9.9,0,1,13,61.3,4.7,79.8%,RB,standard
42,Braelon Allen (NYJ),78,283,3.6,20,1,2,16,23,135,8.4,1,0,13,59.8,4.6,57.1%,RB,standard
43,Devin Singletary (NYG),89,357,4.0,43,2,3,16,19,99,6.2,0,2,12,59.6,5.0,44.1%,RB,standard
44,Jerome Ford (CLE),80,367,4.6,36,3,1,30,36,166,5.5,0,0,11,59.3,5.4,52.3%,RB,standard
